service_type,business_sphere,monthly_budget,has_experience,segments_count,marketing_source,form_completion_time,day_of_week,time_of_day,converted
SEO-продвижение,"Туризм и гостиницы","от 40к до 100к рублей",1,1,Рекомендация,536,5,16,0
"Контекстная реклама",Другое,"от 100к до 250к рублей",1,3,"Контекстная или таргетированная реклама",319,5,9,0
Перформанс-маркетинг,Интернет-магазин,"от 200к до 400к рублей",0,3,"Контекстная или таргетированная реклама",380,0,11,0
Веб-аналитика,Образование,"от 400к рублей",0,3,"Контекстная или таргетированная реклама",155,6,13,0
Аутстафф,Недвижимость,"от 50к до 100к рублей",0,2,"Контекстная или таргетированная реклама",86,6,16,0
Аутстафф,Медицина,"от 200к до 400к рублей",0,3,"Поиск в Google/Yandex",289,0,10,0
Контент-поддержка,"Услуги для бизнеса (B2B)","от 100к до 250к рублей",1,2,"Контекстная или таргетированная реклама",417,3,11,0
Веб-аналитика,"Услуги для населения (B2C)","от 400к рублей",1,1,"Социальные сети",345,0,17,0
Аутстафф,Другое,"от 250к до 500к рублей",1,2,Рекомендация,484,6,9,1
"Зарубежное SEO",Недвижимость,"от 250к до 500к рублей",0,3,"Контекстная или таргетированная реклама",200,4,15,1
"Контекстная реклама",Другое,"от 40к до 100к рублей",0,3,"Контекстная или таргетированная реклама",371,3,12,0
Перформанс-маркетинг,Медицина,"от 50к до 100к рублей",0,1,"Контекстная или таргетированная реклама",479,1,9,0
Аутстафф,"Услуги для бизнеса (B2B)","от 1 млн рублей",0,2,Рекомендация,564,3,10,1
Контент-поддержка,Интернет-магазин,"от 30к до 50к рублей",1,2,"Контекстная или таргетированная реклама",418,2,12,0
Аутстафф,"Услуги для населения (B2C)","от 250к до 500к рублей",1,3,"Контекстная или таргетированная реклама",438,2,12,1
SEO-продвижение,"Услуги для населения (B2C)","от 100к до 200к рублей",0,3,"Контекстная или таргетированная реклама",63,5,14,0
Веб-аналитика,Другое,"от 100к до 250к рублей",1,2,"Контекстная или таргетированная реклама",404,1,13,0
"Контекстная реклама",Строительство,"от 100к до 200к рублей",0,2,"Поиск в Google/Yandex",306,5,16,0
"SERM (управление репутацией)","Услуги для населения (B2C)","от 500к до 1 млн рублей",0,2,"Поиск в Google/Yandex",327,1,18,0
SEO-продвижение,Недвижимость,"от 250к до 500к рублей",1,1,"Поиск в Google/Yandex",171,0,15,1
Веб-аналитика,"Услуги для бизнеса (B2B)","от 30к до 50к рублей",0,2,"Поиск в Google/Yandex",492,6,11,0
Перформанс-маркетинг,"Услуги для бизнеса (B2B)","от 50к до 100к рублей",1,1,"Социальные сети",425,3,11,0
"Контекстная реклама",Образование,"от 200к до 400к рублей",1,2,"Социальные сети",420,6,11,0
Аутстафф,Медицина,"от 200к рублей",1,3,Рекомендация,378,0,13,1
Аутстафф,Недвижимость,"от 500к до 1 млн рублей",1,2,"Контекстная или таргетированная реклама",464,2,11,1
Аутстафф,Производство,"от 200к до 400к рублей",0,3,"Социальные сети",545,5,18,0
GEO-продвижение,"Услуги для бизнеса (B2B)","от 100к до 200к рублей",0,2,"Социальные сети",493,6,11,0
SEO-продвижение,Строительство,"от 200к до 400к рублей",0,3,"Поиск в Google/Yandex",567,1,10,0
"SERM (управление репутацией)","Услуги для населения (B2C)","от 250к до 500к рублей",1,3,Рекомендация,583,5,14,1
"Контекстная реклама",Медицина,"от 30к до 50к рублей",0,1,Рекомендация,198,0,18,0
Веб-аналитика,Недвижимость,"от 50к до 100к рублей",0,1,Рекомендация,548,4,13,0
SEO-продвижение,Медицина,"от 400к рублей",1,1,"Контекстная или таргетированная реклама",79,0,9,1
"Зарубежное SEO","Услуги для бизнеса (B2B)","от 200к до 400к рублей",0,3,"Контекстная или таргетированная реклама",164,6,16,0
"Зарубежное SEO",Производство,"от 500к до 1 млн рублей",1,3,"Поиск в Google/Yandex",473,0,17,1
GEO-продвижение,"Услуги для населения (B2C)","от 500к до 1 млн рублей",0,3,"Социальные сети",543,4,9,0
"Зарубежное SEO",Недвижимость,"от 50к до 100к рублей",1,3,"Поиск в Google/Yandex",521,2,9,1
Аутстафф,Образование,"от 50к до 100к рублей",1,2,"Поиск в Google/Yandex",503,6,10,0
Аутстафф,Недвижимость,"от 40к до 100к рублей",1,2,Рекомендация,291,1,10,1
Перформанс-маркетинг,Другое,"от 400к рублей",1,3,"Поиск в Google/Yandex",85,0,16,1
Веб-аналитика,Образование,"от 30к до 50к рублей",0,1,"Контекстная или таргетированная реклама",141,6,13,0
Аутстафф,Производство,"от 30к до 50к рублей",1,3,"Социальные сети",260,5,16,1
"Зарубежное SEO",Интернет-магазин,"от 50к до 100к рублей",0,2,"Поиск в Google/Yandex",157,0,13,0
GEO-продвижение,Строительство,"от 40к до 100к рублей",1,1,"Контекстная или таргетированная реклама",98,6,11,1
Веб-аналитика,Производство,"от 400к рублей",1,3,"Поиск в Google/Yandex",96,1,18,1
Аутстафф,"Туризм и гостиницы","от 200к до 400к рублей",1,3,"Контекстная или таргетированная реклама",268,4,17,0
Перформанс-маркетинг,Интернет-магазин,"от 50к до 100к рублей",0,3,"Поиск в Google/Yandex",85,6,17,0
Перформанс-маркетинг,"Услуги для бизнеса (B2B)","от 40к до 100к рублей",1,3,"Социальные сети",128,6,18,1
"Зарубежное SEO",Производство,"от 200к рублей",1,3,"Поиск в Google/Yandex",169,1,18,1
Веб-аналитика,Образование,"от 200к рублей",1,2,"Контекстная или таргетированная реклама",565,1,14,0
Веб-аналитика,Строительство,"от 200к рублей",1,1,"Поиск в Google/Yandex",520,5,10,0
"Контекстная реклама",Медицина,"от 400к рублей",0,3,"Социальные сети",230,5,9,0
SEO-продвижение,Интернет-магазин,"от 400к рублей",0,1,Рекомендация,474,6,12,0
"Зарубежное SEO",Строительство,"от 250к до 500к рублей",1,2,"Социальные сети",71,2,16,1
GEO-продвижение,Образование,"от 1 млн рублей",1,1,"Социальные сети",392,3,18,1
Перформанс-маркетинг,Другое,"от 250к до 500к рублей",0,1,"Контекстная или таргетированная реклама",274,0,18,0
Перформанс-маркетинг,"Услуги для населения (B2C)","от 30к до 50к рублей",1,2,Рекомендация,221,4,9,1
"Контекстная реклама",Строительство,"от 50к до 100к рублей",1,3,"Контекстная или таргетированная реклама",150,3,16,1
"Контекстная реклама","Услуги для бизнеса (B2B)","от 40к до 100к рублей",0,3,Рекомендация,346,6,14,0
SEO-продвижение,Интернет-магазин,"от 40к до 100к рублей",1,3,"Контекстная или таргетированная реклама",414,4,10,0
"SERM (управление репутацией)",Образование,"от 30к до 50к рублей",1,2,"Контекстная или таргетированная реклама",353,2,17,0
Контент-поддержка,Производство,"от 50к до 100к рублей",0,2,"Поиск в Google/Yandex",588,5,10,0
Аутстафф,Интернет-магазин,"от 200к до 400к рублей",0,3,"Поиск в Google/Yandex",122,6,12,0
Веб-аналитика,Производство,"от 200к рублей",1,2,"Социальные сети",242,4,10,0
Веб-аналитика,Производство,"от 250к до 500к рублей",0,2,"Социальные сети",370,1,16,0
Перформанс-маркетинг,"Услуги для бизнеса (B2B)","от 40к до 100к рублей",1,2,"Поиск в Google/Yandex",88,0,9,1
SEO-продвижение,"Услуги для населения (B2C)","от 100к до 200к рублей",1,2,"Поиск в Google/Yandex",419,2,18,0
Контент-поддержка,Строительство,"от 400к рублей",0,1,"Социальные сети",351,2,14,0
GEO-продвижение,Образование,"от 40к до 100к рублей",0,3,"Поиск в Google/Yandex",170,5,12,0
"Зарубежное SEO","Услуги для бизнеса (B2B)","от 400к рублей",0,2,"Поиск в Google/Yandex",499,5,17,0
Аутстафф,"Услуги для бизнеса (B2B)","от 50к до 100к рублей",1,1,Рекомендация,221,1,16,1
"Контекстная реклама",Интернет-магазин,"от 200к до 400к рублей",1,1,"Контекстная или таргетированная реклама",251,3,11,0
GEO-продвижение,Другое,"от 1 млн рублей",0,3,"Контекстная или таргетированная реклама",415,1,9,1
GEO-продвижение,"Услуги для населения (B2C)","от 30к до 50к рублей",0,2,"Контекстная или таргетированная реклама",353,0,15,0
Перформанс-маркетинг,Образование,"от 50к до 100к рублей",0,3,"Контекстная или таргетированная реклама",420,3,9,0
Контент-поддержка,Недвижимость,"от 250к до 500к рублей",1,1,"Контекстная или таргетированная реклама",264,0,9,1
"Зарубежное SEO",Производство,"от 100к до 200к рублей",1,3,Рекомендация,136,1,13,1
Аутстафф,Строительство,"от 30к до 50к рублей",1,1,"Социальные сети",535,6,11,0
SEO-продвижение,"Туризм и гостиницы","от 100к до 250к рублей",1,3,"Контекстная или таргетированная реклама",127,2,10,1
SEO-продвижение,"Услуги для бизнеса (B2B)","от 400к рублей",1,3,Рекомендация,291,4,16,1
Перформанс-маркетинг,Производство,"от 1 млн рублей",1,1,"Поиск в Google/Yandex",253,2,18,1
"Контекстная реклама",Строительство,"от 50к до 100к рублей",1,3,"Контекстная или таргетированная реклама",448,2,18,0
SEO-продвижение,Интернет-магазин,"от 200к до 400к рублей",0,1,Рекомендация,164,4,12,0
GEO-продвижение,Производство,"от 200к до 400к рублей",1,1,"Контекстная или таргетированная реклама",129,1,18,0
GEO-продвижение,Недвижимость,"от 50к до 100к рублей",1,3,"Социальные сети",560,6,12,0
Веб-аналитика,Интернет-магазин,"от 1 млн рублей",1,2,"Контекстная или таргетированная реклама",115,5,13,1
Аутстафф,"Туризм и гостиницы","от 100к до 250к рублей",1,1,"Социальные сети",98,3,15,0
Веб-аналитика,"Услуги для бизнеса (B2B)","от 40к до 100к рублей",1,2,"Контекстная или таргетированная реклама",209,5,12,1
"Контекстная реклама",Интернет-магазин,"от 30к до 50к рублей",1,1,"Контекстная или таргетированная реклама",314,5,12,0
GEO-продвижение,Строительство,"от 100к до 200к рублей",1,2,Рекомендация,258,6,16,1
GEO-продвижение,Строительство,"от 200к рублей",0,1,"Поиск в Google/Yandex",314,4,17,0
Перформанс-маркетинг,Медицина,"от 400к рублей",1,1,"Контекстная или таргетированная реклама",578,1,18,0
Аутстафф,Образование,"от 40к до 100к рублей",0,1,"Контекстная или таргетированная реклама",221,1,10,0
SEO-продвижение,Производство,"от 200к рублей",1,1,Рекомендация,431,2,11,0
GEO-продвижение,Недвижимость,"от 1 млн рублей",0,3,"Поиск в Google/Yandex",500,6,13,0
Контент-поддержка,Образование,"от 200к рублей",1,3,"Поиск в Google/Yandex",399,5,16,1
Аутстафф,Производство,"от 40к до 100к рублей",0,2,"Поиск в Google/Yandex",205,3,10,0
Аутстафф,Недвижимость,"от 50к до 100к рублей",1,2,"Поиск в Google/Yandex",328,6,10,0
GEO-продвижение,Недвижимость,"от 50к до 100к рублей",1,3,"Социальные сети",383,6,9,0
Аутстафф,Недвижимость,"от 50к до 100к рублей",0,3,"Контекстная или таргетированная реклама",365,3,14,0
SEO-продвижение,Недвижимость,"от 100к до 200к рублей",1,2,"Контекстная или таргетированная реклама",408,6,18,0
Веб-аналитика,Строительство,"от 100к до 250к рублей",1,1,Рекомендация,229,0,9,1
Веб-аналитика,"Туризм и гостиницы","от 50к до 100к рублей",1,3,"Поиск в Google/Yandex",174,4,18,1
Перформанс-маркетинг,"Услуги для населения (B2C)","от 500к до 1 млн рублей",1,3,"Поиск в Google/Yandex",591,5,13,1
"SERM (управление репутацией)","Туризм и гостиницы","от 100к до 200к рублей",0,3,Рекомендация,252,4,15,0
"Контекстная реклама",Другое,"от 100к до 200к рублей",1,2,"Социальные сети",240,1,15,0
"Зарубежное SEO",Другое,"от 30к до 50к рублей",1,1,"Поиск в Google/Yandex",423,4,14,0
Аутстафф,"Туризм и гостиницы","от 100к до 250к рублей",0,3,"Социальные сети",439,3,12,0
"Контекстная реклама",Интернет-магазин,"от 100к до 200к рублей",0,1,"Контекстная или таргетированная реклама",514,2,16,0
"Зарубежное SEO",Образование,"от 200к до 400к рублей",0,2,"Социальные сети",294,3,13,0
"SERM (управление репутацией)",Строительство,"от 1 млн рублей",1,2,"Контекстная или таргетированная реклама",519,2,15,1
Контент-поддержка,Производство,"от 200к рублей",1,1,Рекомендация,414,0,15,1
Аутстафф,Образование,"от 400к рублей",0,1,Рекомендация,486,2,15,0
SEO-продвижение,Другое,"от 200к до 400к рублей",1,1,"Контекстная или таргетированная реклама",518,5,11,0
Контент-поддержка,"Услуги для населения (B2C)","от 100к до 200к рублей",1,1,"Поиск в Google/Yandex",166,2,10,1
"Зарубежное SEO",Строительство,"от 40к до 100к рублей",1,3,"Социальные сети",319,5,16,0
Аутстафф,Строительство,"от 100к до 250к рублей",1,2,"Контекстная или таргетированная реклама",105,6,10,1
Веб-аналитика,"Услуги для населения (B2C)","от 40к до 100к рублей",0,1,Рекомендация,184,4,16,0
"Зарубежное SEO",Другое,"от 1 млн рублей",1,1,Рекомендация,227,1,9,1
SEO-продвижение,Медицина,"от 1 млн рублей",1,2,"Поиск в Google/Yandex",367,6,14,1
Аутстафф,"Туризм и гостиницы","от 100к до 250к рублей",1,3,"Контекстная или таргетированная реклама",108,5,13,1
Контент-поддержка,Интернет-магазин,"от 50к до 100к рублей",1,1,"Контекстная или таргетированная реклама",518,5,12,0
"SERM (управление репутацией)",Строительство,"от 400к рублей",1,3,"Поиск в Google/Yandex",167,4,12,1
"Контекстная реклама",Строительство,"от 200к до 400к рублей",1,3,Рекомендация,102,0,12,1
GEO-продвижение,Образование,"от 400к рублей",1,1,"Поиск в Google/Yandex",241,5,15,0
GEO-продвижение,Медицина,"от 50к до 100к рублей",1,1,"Контекстная или таргетированная реклама",434,0,17,0
"Контекстная реклама",Строительство,"от 100к до 250к рублей",0,2,"Контекстная или таргетированная реклама",197,0,18,0
Веб-аналитика,Образование,"от 1 млн рублей",0,2,"Поиск в Google/Yandex",458,0,13,0
"SERM (управление репутацией)",Медицина,"от 400к рублей",1,1,"Поиск в Google/Yandex",321,5,16,0
"Контекстная реклама",Другое,"от 100к до 200к рублей",1,1,"Социальные сети",160,5,18,1
"SERM (управление репутацией)",Другое,"от 1 млн рублей",1,2,"Социальные сети",216,0,10,1
Контент-поддержка,"Услуги для населения (B2C)","от 40к до 100к рублей",1,1,"Контекстная или таргетированная реклама",243,5,15,0
"SERM (управление репутацией)",Другое,"от 1 млн рублей",1,2,"Контекстная или таргетированная реклама",93,4,13,1
Контент-поддержка,Производство,"от 50к до 100к рублей",0,1,"Социальные сети",423,3,10,0
"SERM (управление репутацией)",Недвижимость,"от 100к до 200к рублей",1,1,Рекомендация,125,0,17,1
"SERM (управление репутацией)",Интернет-магазин,"от 400к рублей",0,1,"Поиск в Google/Yandex",335,4,17,0
SEO-продвижение,"Услуги для населения (B2C)","от 100к до 200к рублей",0,1,"Контекстная или таргетированная реклама",446,3,13,0
SEO-продвижение,"Услуги для населения (B2C)","от 30к до 50к рублей",1,3,"Контекстная или таргетированная реклама",147,1,13,1
Перформанс-маркетинг,Строительство,"от 50к до 100к рублей",1,3,Рекомендация,65,5,14,1
GEO-продвижение,"Услуги для населения (B2C)","от 250к до 500к рублей",1,2,"Социальные сети",566,4,18,1
SEO-продвижение,Строительство,"от 400к рублей",1,3,"Социальные сети",387,0,16,0
Аутстафф,Медицина,"от 500к до 1 млн рублей",0,3,"Поиск в Google/Yandex",453,3,13,0
"Контекстная реклама",Интернет-магазин,"от 40к до 100к рублей",0,2,"Контекстная или таргетированная реклама",163,5,13,0
"Зарубежное SEO","Услуги для населения (B2C)","от 1 млн рублей",0,3,"Контекстная или таргетированная реклама",406,4,16,1
Перформанс-маркетинг,Другое,"от 1 млн рублей",0,1,Рекомендация,349,5,12,1
GEO-продвижение,Другое,"от 200к до 400к рублей",0,1,Рекомендация,439,4,18,0
"Зарубежное SEO","Услуги для населения (B2C)","от 30к до 50к рублей",0,2,"Контекстная или таргетированная реклама",562,6,15,0
Аутстафф,Медицина,"от 400к рублей",0,3,"Контекстная или таргетированная реклама",434,4,12,0
"Зарубежное SEO",Производство,"от 100к до 250к рублей",0,3,"Социальные сети",346,6,11,0
"Зарубежное SEO",Медицина,"от 50к до 100к рублей",0,2,"Поиск в Google/Yandex",110,0,18,0
Перформанс-маркетинг,Строительство,"от 100к до 200к рублей",0,3,"Контекстная или таргетированная реклама",399,2,17,0
Веб-аналитика,Производство,"от 200к до 400к рублей",1,1,"Поиск в Google/Yandex",258,4,10,0
Аутстафф,Другое,"от 100к до 250к рублей",1,1,Рекомендация,103,0,12,1
GEO-продвижение,"Услуги для населения (B2C)","от 200к до 400к рублей",0,1,"Поиск в Google/Yandex",309,4,9,0
Контент-поддержка,Интернет-магазин,"от 200к рублей",0,3,"Социальные сети",388,6,17,0
SEO-продвижение,Интернет-магазин,"от 200к до 400к рублей",1,3,"Контекстная или таргетированная реклама",515,3,9,0
Аутстафф,Недвижимость,"от 100к до 250к рублей",0,3,"Социальные сети",582,4,10,0
SEO-продвижение,"Туризм и гостиницы","от 50к до 100к рублей",1,3,Рекомендация,127,4,15,1
Аутстафф,"Туризм и гостиницы","от 50к до 100к рублей",1,3,"Поиск в Google/Yandex",67,1,15,1
"Контекстная реклама",Медицина,"от 200к рублей",0,2,Рекомендация,432,2,14,0
"Контекстная реклама",Медицина,"от 1 млн рублей",1,2,Рекомендация,307,4,9,1
"SERM (управление репутацией)",Производство,"от 1 млн рублей",0,1,"Контекстная или таргетированная реклама",321,0,12,0
Веб-аналитика,Образование,"от 30к до 50к рублей",0,3,"Социальные сети",214,3,15,0
Аутстафф,Образование,"от 1 млн рублей",1,1,"Поиск в Google/Yandex",244,2,13,1
"Зарубежное SEO",Строительство,"от 400к рублей",1,2,"Социальные сети",65,5,15,1
GEO-продвижение,Другое,"от 100к до 250к рублей",1,3,"Контекстная или таргетированная реклама",96,5,10,1
SEO-продвижение,Строительство,"от 500к до 1 млн рублей",0,2,"Поиск в Google/Yandex",80,6,15,1
Перформанс-маркетинг,Производство,"от 50к до 100к рублей",1,1,"Социальные сети",398,0,16,0
"Зарубежное SEO",Недвижимость,"от 50к до 100к рублей",0,3,"Поиск в Google/Yandex",161,4,16,0
Веб-аналитика,Медицина,"от 40к до 100к рублей",1,1,"Социальные сети",532,1,13,0
SEO-продвижение,Другое,"от 200к до 400к рублей",0,2,"Социальные сети",431,6,15,0
"Зарубежное SEO",Недвижимость,"от 100к до 200к рублей",1,2,"Поиск в Google/Yandex",174,0,15,1
GEO-продвижение,Недвижимость,"от 400к рублей",1,3,Рекомендация,459,0,16,1
Перформанс-маркетинг,"Туризм и гостиницы","от 30к до 50к рублей",1,3,"Поиск в Google/Yandex",102,1,9,1
"Зарубежное SEO",Медицина,"от 200к до 400к рублей",1,2,Рекомендация,576,5,15,1
"Контекстная реклама","Услуги для населения (B2C)","от 200к рублей",1,2,"Социальные сети",77,4,9,1
"Контекстная реклама","Туризм и гостиницы","от 40к до 100к рублей",1,2,"Контекстная или таргетированная реклама",63,1,13,1
"SERM (управление репутацией)","Услуги для населения (B2C)","от 200к рублей",0,3,Рекомендация,110,0,17,1
"Зарубежное SEO",Производство,"от 400к рублей",1,1,"Поиск в Google/Yandex",598,2,14,0
GEO-продвижение,Другое,"от 1 млн рублей",0,1,"Контекстная или таргетированная реклама",145,6,10,0
"Контекстная реклама",Медицина,"от 40к до 100к рублей",1,2,Рекомендация,365,3,13,1
GEO-продвижение,Недвижимость,"от 40к до 100к рублей",1,1,"Поиск в Google/Yandex",427,6,12,0
Аутстафф,Интернет-магазин,"от 40к до 100к рублей",1,1,Рекомендация,264,5,15,1
Контент-поддержка,Медицина,"от 200к рублей",1,1,"Контекстная или таргетированная реклама",185,2,18,1
SEO-продвижение,Недвижимость,"от 500к до 1 млн рублей",1,2,"Социальные сети",355,0,9,1
Перформанс-маркетинг,"Услуги для населения (B2C)","от 50к до 100к рублей",1,1,"Социальные сети",505,6,17,0
"SERM (управление репутацией)","Услуги для бизнеса (B2B)","от 250к до 500к рублей",1,2,"Социальные сети",210,3,17,1
"Зарубежное SEO","Туризм и гостиницы","от 1 млн рублей",1,1,"Социальные сети",278,6,18,1
SEO-продвижение,Медицина,"от 500к до 1 млн рублей",1,2,"Социальные сети",65,6,13,1
GEO-продвижение,"Услуги для бизнеса (B2B)","от 500к до 1 млн рублей",1,1,"Поиск в Google/Yandex",190,6,10,1
SEO-продвижение,"Услуги для бизнеса (B2B)","от 200к до 400к рублей",0,2,"Поиск в Google/Yandex",286,0,11,0
"SERM (управление репутацией)",Медицина,"от 30к до 50к рублей",1,1,"Поиск в Google/Yandex",96,5,16,0
Перформанс-маркетинг,Другое,"от 250к до 500к рублей",0,2,"Поиск в Google/Yandex",293,4,18,0
"Контекстная реклама",Строительство,"от 1 млн рублей",1,2,"Поиск в Google/Yandex",269,3,18,1
"Контекстная реклама",Недвижимость,"от 30к до 50к рублей",1,2,"Социальные сети",271,6,16,0
"SERM (управление репутацией)",Интернет-магазин,"от 1 млн рублей",0,3,"Контекстная или таргетированная реклама",588,5,12,0
SEO-продвижение,Недвижимость,"от 50к до 100к рублей",1,1,Рекомендация,146,3,15,1
GEO-продвижение,Недвижимость,"от 250к до 500к рублей",0,3,"Поиск в Google/Yandex",241,2,10,0
"SERM (управление репутацией)",Другое,"от 30к до 50к рублей",1,2,"Контекстная или таргетированная реклама",275,1,10,0
"Зарубежное SEO","Услуги для бизнеса (B2B)","от 100к до 250к рублей",1,1,"Поиск в Google/Yandex",137,6,18,0
"SERM (управление репутацией)","Услуги для населения (B2C)","от 30к до 50к рублей",1,1,"Социальные сети",82,6,18,0
"Зарубежное SEO","Услуги для бизнеса (B2B)","от 200к до 400к рублей",1,2,"Контекстная или таргетированная реклама",289,4,9,0
Контент-поддержка,Строительство,"от 30к до 50к рублей",0,1,Рекомендация,451,6,14,0
GEO-продвижение,Другое,"от 100к до 250к рублей",0,3,"Социальные сети",420,4,9,0
"Контекстная реклама","Услуги для бизнеса (B2B)","от 40к до 100к рублей",1,1,Рекомендация,408,0,13,0
Перформанс-маркетинг,Образование,"от 30к до 50к рублей",0,2,Рекомендация,111,4,10,1
Перформанс-маркетинг,Производство,"от 50к до 100к рублей",0,2,Рекомендация,217,6,18,0
Перформанс-маркетинг,"Туризм и гостиницы","от 40к до 100к рублей",0,3,"Контекстная или таргетированная реклама",355,0,15,0
GEO-продвижение,Производство,"от 100к до 250к рублей",1,2,"Контекстная или таргетированная реклама",349,5,18,0
"SERM (управление репутацией)",Строительство,"от 250к до 500к рублей",1,3,"Поиск в Google/Yandex",399,3,11,1
"Зарубежное SEO","Услуги для населения (B2C)","от 200к до 400к рублей",1,3,"Поиск в Google/Yandex",341,1,10,1
Веб-аналитика,Медицина,"от 400к рублей",0,3,"Поиск в Google/Yandex",151,2,9,0
Аутстафф,Производство,"от 400к рублей",0,3,"Социальные сети",94,5,10,0
Контент-поддержка,"Туризм и гостиницы","от 1 млн рублей",1,1,Рекомендация,575,5,17,1
Перформанс-маркетинг,"Услуги для бизнеса (B2B)","от 500к до 1 млн рублей",1,2,"Социальные сети",439,1,16,1
Веб-аналитика,"Услуги для населения (B2C)","от 200к рублей",1,2,"Контекстная или таргетированная реклама",163,5,14,1
Перформанс-маркетинг,"Услуги для бизнеса (B2B)","от 30к до 50к рублей",1,2,"Социальные сети",123,3,12,1
"SERM (управление репутацией)","Услуги для бизнеса (B2B)","от 200к до 400к рублей",1,1,Рекомендация,261,4,16,1
GEO-продвижение,Медицина,"от 200к рублей",0,1,Рекомендация,212,0,18,0
GEO-продвижение,Недвижимость,"от 100к до 200к рублей",0,1,"Контекстная или таргетированная реклама",245,6,16,0
Веб-аналитика,Производство,"от 250к до 500к рублей",1,1,"Социальные сети",566,1,17,0
Веб-аналитика,Образование,"от 1 млн рублей",1,1,"Социальные сети",523,4,13,1
"Зарубежное SEO",Образование,"от 100к до 200к рублей",0,1,"Поиск в Google/Yandex",594,2,17,0
SEO-продвижение,Недвижимость,"от 500к до 1 млн рублей",0,1,"Поиск в Google/Yandex",425,2,9,0
Веб-аналитика,"Услуги для населения (B2C)","от 400к рублей",1,3,"Поиск в Google/Yandex",317,5,13,0
Контент-поддержка,Строительство,"от 40к до 100к рублей",1,2,"Социальные сети",281,3,13,0
Перформанс-маркетинг,Образование,"от 40к до 100к рублей",1,3,"Поиск в Google/Yandex",443,3,16,1
Аутстафф,Недвижимость,"от 400к рублей",1,2,Рекомендация,549,2,13,1
Аутстафф,Образование,"от 40к до 100к рублей",1,2,"Поиск в Google/Yandex",247,5,18,0
Веб-аналитика,"Услуги для населения (B2C)","от 100к до 200к рублей",1,2,"Социальные сети",188,1,15,1
Контент-поддержка,Производство,"от 40к до 100к рублей",0,2,Рекомендация,460,5,10,0
GEO-продвижение,"Туризм и гостиницы","от 100к до 200к рублей",0,1,Рекомендация,525,1,11,0
"Контекстная реклама","Туризм и гостиницы","от 250к до 500к рублей",0,3,"Социальные сети",426,6,16,0
Перформанс-маркетинг,Другое,"от 50к до 100к рублей",1,1,"Контекстная или таргетированная реклама",96,2,18,0
"SERM (управление репутацией)",Другое,"от 40к до 100к рублей",1,3,"Социальные сети",474,5,14,0
Аутстафф,Другое,"от 100к до 200к рублей",0,1,"Контекстная или таргетированная реклама",315,2,18,0
