service_type,business_sphere,monthly_budget,has_experience,segments_count,marketing_source,form_completion_time,day_of_week,time_of_day,converted
Контент-поддержка,Услуги для бизнеса (B2B),от 100к до 200к рублей,1,3,Рекомендация,198,4,18,1
Зарубежное SEO,Строительство,от 400к рублей,0,3,Рекомендация,598,1,16,0
Зарубежное SEO,Другое,от 1 млн рублей,0,2,Рекомендация,459,6,16,1
Перформанс-маркетинг,Услуги для населения (B2C),от 200к до 400к рублей,1,1,Социальные сети,245,4,16,0
Перформанс-маркетинг,Недвижимость,от 400к рублей,1,2,Контекстная или таргетированная реклама,388,1,12,0
Контекстная реклама,Медицина,от 200к рублей,0,1,Социальные сети,363,7,9,0
Аутстафф,Недвижимость,от 100к до 200к рублей,1,2,Поиск в Google/Yandex,136,2,15,1
Контент-поддержка,Услуги для населения (B2C),от 50к до 100к рублей,1,3,Рекомендация,233,2,9,1
Зарубежное SEO,Услуги для населения (B2C),от 40к до 100к рублей,1,2,Контекстная или таргетированная реклама,284,4,14,0
SERM (управление репутацией),Другое,от 50к до 100к рублей,0,2,Контекстная или таргетированная реклама,587,7,12,0
Веб-аналитика,Другое,от 500к до 1 млн рублей,1,1,Поиск в Google/Yandex,595,3,18,1
Зарубежное SEO,Услуги для бизнеса (B2B),от 250к до 500к рублей,1,3,Социальные сети,545,4,15,1
Зарубежное SEO,Производство,от 200к до 400к рублей,0,2,Поиск в Google/Yandex,171,7,15,0
Аутстафф,Другое,от 100к до 200к рублей,1,2,Контекстная или таргетированная реклама,138,2,10,1
SEO-продвижение,Производство,от 40к до 100к рублей,1,1,Рекомендация,479,2,13,1
Аутстафф,Интернет-магазин,от 50к до 100к рублей,0,2,Социальные сети,283,3,18,0
Веб-аналитика,Интернет-магазин,от 1 млн рублей,1,3,Контекстная или таргетированная реклама,161,5,17,1
Аутстафф,Образование,от 1 млн рублей,0,2,Социальные сети,451,3,16,0
Зарубежное SEO,Производство,от 40к до 100к рублей,1,2,Рекомендация,202,6,11,1
GEO-продвижение,Услуги для населения (B2C),от 1 млн рублей,0,3,Социальные сети,447,4,11,1
GEO-продвижение,Строительство,от 400к рублей,1,1,Контекстная или таргетированная реклама,331,5,14,0
Контент-поддержка,Другое,от 50к до 100к рублей,1,1,Поиск в Google/Yandex,366,2,18,0
Веб-аналитика,Услуги для населения (B2C),от 40к до 100к рублей,0,2,Поиск в Google/Yandex,352,2,15,0
Веб-аналитика,Медицина,от 200к рублей,0,1,Социальные сети,177,1,10,0
Контекстная реклама,Строительство,от 250к до 500к рублей,0,3,Рекомендация,134,6,10,1
SERM (управление репутацией),Образование,от 250к до 500к рублей,1,1,Рекомендация,348,5,16,1
Аутстафф,Строительство,от 200к рублей,0,1,Рекомендация,286,1,10,0
Контекстная реклама,Услуги для бизнеса (B2B),от 1 млн рублей,1,1,Поиск в Google/Yandex,235,3,9,1
Аутстафф,Недвижимость,от 40к до 100к рублей,0,1,Социальные сети,426,3,10,0
GEO-продвижение,Услуги для населения (B2C),от 1 млн рублей,0,1,Контекстная или таргетированная реклама,277,4,14,0
Аутстафф,Недвижимость,от 50к до 100к рублей,0,2,Поиск в Google/Yandex,77,7,11,0
Контент-поддержка,Другое,от 30к до 50к рублей,0,1,Рекомендация,151,3,13,0
SERM (управление репутацией),Медицина,от 100к до 250к рублей,0,3,Поиск в Google/Yandex,537,7,16,0
Аутстафф,Медицина,от 500к до 1 млн рублей,1,1,Контекстная или таргетированная реклама,197,1,16,1
Контекстная реклама,Другое,от 50к до 100к рублей,1,1,Социальные сети,571,1,13,0
Аутстафф,Услуги для населения (B2C),от 500к до 1 млн рублей,1,2,Контекстная или таргетированная реклама,105,2,11,1
Веб-аналитика,Другое,от 200к рублей,0,1,Рекомендация,314,2,16,0
Зарубежное SEO,Медицина,от 200к до 400к рублей,0,2,Поиск в Google/Yandex,370,7,10,0
SERM (управление репутацией),Услуги для населения (B2C),от 250к до 500к рублей,1,1,Поиск в Google/Yandex,558,3,12,1
Перформанс-маркетинг,Услуги для бизнеса (B2B),от 100к до 200к рублей,0,1,Социальные сети,324,6,13,0
Контекстная реклама,Интернет-магазин,от 250к до 500к рублей,1,1,Социальные сети,364,4,15,1
SEO-продвижение,Недвижимость,от 50к до 100к рублей,0,1,Контекстная или таргетированная реклама,530,7,10,0
Перформанс-маркетинг,Туризм и гостиницы,от 400к рублей,1,3,Контекстная или таргетированная реклама,174,3,15,1
Контент-поддержка,Недвижимость,от 100к до 200к рублей,1,1,Социальные сети,206,2,15,1
SEO-продвижение,Производство,от 100к до 250к рублей,0,1,Контекстная или таргетированная реклама,73,7,12,0
Контент-поддержка,Услуги для бизнеса (B2B),от 100к до 250к рублей,1,2,Контекстная или таргетированная реклама,256,4,11,0
Веб-аналитика,Туризм и гостиницы,от 250к до 500к рублей,0,2,Контекстная или таргетированная реклама,246,2,15,0
Аутстафф,Туризм и гостиницы,от 200к рублей,1,2,Рекомендация,575,5,9,1
SERM (управление репутацией),Производство,от 1 млн рублей,1,3,Социальные сети,321,3,17,1
Контекстная реклама,Образование,от 30к до 50к рублей,0,2,Рекомендация,558,4,14,0
Контент-поддержка,Другое,от 200к рублей,0,1,Контекстная или таргетированная реклама,417,1,12,0
Веб-аналитика,Услуги для бизнеса (B2B),от 400к рублей,0,2,Контекстная или таргетированная реклама,193,1,10,0
Аутстафф,Недвижимость,от 1 млн рублей,1,2,Контекстная или таргетированная реклама,385,7,17,1
Зарубежное SEO,Услуги для населения (B2C),от 250к до 500к рублей,0,1,Контекстная или таргетированная реклама,327,1,9,0
Веб-аналитика,Строительство,от 400к рублей,1,2,Социальные сети,275,5,13,0
Контент-поддержка,Недвижимость,от 100к до 250к рублей,0,2,Рекомендация,579,7,14,0
Контент-поддержка,Интернет-магазин,от 500к до 1 млн рублей,1,2,Социальные сети,585,6,13,1
Контекстная реклама,Другое,от 400к рублей,1,2,Социальные сети,472,2,9,0
SEO-продвижение,Туризм и гостиницы,от 40к до 100к рублей,1,1,Рекомендация,62,4,9,1
Веб-аналитика,Туризм и гостиницы,от 30к до 50к рублей,0,3,Поиск в Google/Yandex,326,4,17,0
Аутстафф,Образование,от 30к до 50к рублей,1,3,Социальные сети,146,3,11,1
Контекстная реклама,Строительство,от 500к до 1 млн рублей,1,3,Социальные сети,124,2,9,1
Перформанс-маркетинг,Услуги для бизнеса (B2B),от 50к до 100к рублей,0,3,Поиск в Google/Yandex,295,4,14,0
SEO-продвижение,Образование,от 100к до 200к рублей,0,1,Социальные сети,321,5,14,0
Контент-поддержка,Услуги для населения (B2C),от 500к до 1 млн рублей,0,1,Контекстная или таргетированная реклама,91,4,11,0
Контекстная реклама,Услуги для населения (B2C),от 500к до 1 млн рублей,1,1,Рекомендация,439,7,10,1
Веб-аналитика,Недвижимость,от 50к до 100к рублей,1,3,Контекстная или таргетированная реклама,266,2,18,0
Веб-аналитика,Производство,от 100к до 200к рублей,1,3,Рекомендация,209,5,16,1
Зарубежное SEO,Услуги для бизнеса (B2B),от 40к до 100к рублей,1,2,Рекомендация,491,1,12,1
SEO-продвижение,Услуги для бизнеса (B2B),от 200к до 400к рублей,0,3,Контекстная или таргетированная реклама,112,1,14,0
SERM (управление репутацией),Услуги для населения (B2C),от 100к до 200к рублей,0,3,Поиск в Google/Yandex,547,4,9,0
Зарубежное SEO,Строительство,от 30к до 50к рублей,0,1,Рекомендация,293,2,12,0
SEO-продвижение,Строительство,от 30к до 50к рублей,0,3,Социальные сети,342,5,15,0
Аутстафф,Строительство,от 100к до 250к рублей,0,2,Рекомендация,409,4,11,0
Аутстафф,Производство,от 500к до 1 млн рублей,0,2,Контекстная или таргетированная реклама,195,6,16,1
SERM (управление репутацией),Другое,от 50к до 100к рублей,0,3,Социальные сети,157,1,17,0
Контекстная реклама,Медицина,от 100к до 200к рублей,0,1,Поиск в Google/Yandex,126,4,15,0
Контент-поддержка,Интернет-магазин,от 50к до 100к рублей,1,2,Рекомендация,325,2,13,1
SERM (управление репутацией),Интернет-магазин,от 250к до 500к рублей,0,1,Поиск в Google/Yandex,524,3,11,0
SERM (управление репутацией),Интернет-магазин,от 250к до 500к рублей,1,2,Социальные сети,206,3,9,1
Зарубежное SEO,Недвижимость,от 200к до 400к рублей,0,2,Контекстная или таргетированная реклама,248,2,16,0
Веб-аналитика,Строительство,от 100к до 200к рублей,1,2,Контекстная или таргетированная реклама,576,5,14,0
GEO-продвижение,Другое,от 100к до 250к рублей,1,1,Рекомендация,370,1,12,0
Веб-аналитика,Туризм и гостиницы,от 40к до 100к рублей,1,1,Контекстная или таргетированная реклама,389,2,13,0
GEO-продвижение,Туризм и гостиницы,от 40к до 100к рублей,1,1,Рекомендация,514,3,15,1
Контент-поддержка,Строительство,от 400к рублей,0,1,Социальные сети,530,2,15,0
Контекстная реклама,Интернет-магазин,от 40к до 100к рублей,1,1,Поиск в Google/Yandex,477,6,17,0
SERM (управление репутацией),Туризм и гостиницы,от 1 млн рублей,1,1,Рекомендация,529,4,17,1
SEO-продвижение,Интернет-магазин,от 500к до 1 млн рублей,1,1,Социальные сети,161,1,14,1
Контент-поддержка,Интернет-магазин,от 1 млн рублей,0,2,Социальные сети,104,5,15,1
Аутстафф,Производство,от 500к до 1 млн рублей,0,3,Поиск в Google/Yandex,267,6,13,0
Зарубежное SEO,Услуги для населения (B2C),от 200к рублей,0,2,Социальные сети,468,7,15,0
SEO-продвижение,Строительство,от 50к до 100к рублей,0,3,Контекстная или таргетированная реклама,169,5,13,0
GEO-продвижение,Туризм и гостиницы,от 500к до 1 млн рублей,1,1,Социальные сети,571,1,16,1
Аутстафф,Туризм и гостиницы,от 100к до 200к рублей,0,1,Социальные сети,545,2,11,0
Контекстная реклама,Недвижимость,от 500к до 1 млн рублей,0,1,Поиск в Google/Yandex,598,1,17,0
Контекстная реклама,Туризм и гостиницы,от 250к до 500к рублей,0,1,Социальные сети,90,3,17,1
Веб-аналитика,Услуги для населения (B2C),от 30к до 50к рублей,0,1,Рекомендация,521,7,13,0
SEO-продвижение,Недвижимость,от 200к рублей,0,1,Поиск в Google/Yandex,301,4,12,0
Веб-аналитика,Туризм и гостиницы,от 100к до 200к рублей,1,1,Рекомендация,519,4,12,1
Перформанс-маркетинг,Интернет-магазин,от 30к до 50к рублей,1,3,Социальные сети,248,1,14,0
Аутстафф,Недвижимость,от 100к до 250к рублей,1,3,Контекстная или таргетированная реклама,364,3,11,0
GEO-продвижение,Услуги для бизнеса (B2B),от 200к рублей,1,3,Рекомендация,183,3,17,1
SERM (управление репутацией),Строительство,от 40к до 100к рублей,0,1,Рекомендация,269,2,10,0
GEO-продвижение,Услуги для населения (B2C),от 100к до 200к рублей,0,3,Контекстная или таргетированная реклама,160,7,16,0
Зарубежное SEO,Услуги для населения (B2C),от 100к до 200к рублей,0,1,Социальные сети,221,4,16,0
Веб-аналитика,Другое,от 500к до 1 млн рублей,0,2,Поиск в Google/Yandex,369,7,16,0
SERM (управление репутацией),Недвижимость,от 40к до 100к рублей,0,3,Контекстная или таргетированная реклама,476,3,11,0
Контекстная реклама,Услуги для бизнеса (B2B),от 400к рублей,1,3,Контекстная или таргетированная реклама,259,4,9,0
Веб-аналитика,Производство,от 100к до 200к рублей,1,2,Рекомендация,370,5,9,1
Контент-поддержка,Услуги для населения (B2C),от 100к до 200к рублей,1,2,Контекстная или таргетированная реклама,209,1,11,1
Контекстная реклама,Строительство,от 40к до 100к рублей,0,1,Рекомендация,302,1,10,0
SEO-продвижение,Медицина,от 1 млн рублей,0,2,Поиск в Google/Yandex,159,5,9,0
Веб-аналитика,Туризм и гостиницы,от 100к до 200к рублей,0,3,Социальные сети,441,7,10,0
SERM (управление репутацией),Медицина,от 40к до 100к рублей,0,2,Рекомендация,94,7,14,1
Аутстафф,Услуги для бизнеса (B2B),от 30к до 50к рублей,0,2,Социальные сети,447,7,17,0
Контент-поддержка,Производство,от 100к до 250к рублей,1,1,Поиск в Google/Yandex,234,2,17,0
SERM (управление репутацией),Туризм и гостиницы,от 100к до 250к рублей,0,1,Контекстная или таргетированная реклама,598,7,16,0
Контекстная реклама,Другое,от 250к до 500к рублей,1,1,Контекстная или таргетированная реклама,372,4,15,1
Веб-аналитика,Услуги для населения (B2C),от 400к рублей,1,1,Рекомендация,287,5,17,0
SEO-продвижение,Услуги для населения (B2C),от 30к до 50к рублей,0,2,Контекстная или таргетированная реклама,257,3,11,0
Контент-поддержка,Строительство,от 40к до 100к рублей,0,1,Контекстная или таргетированная реклама,355,4,16,0
SERM (управление репутацией),Строительство,от 200к до 400к рублей,1,3,Контекстная или таргетированная реклама,187,7,16,1
Зарубежное SEO,Медицина,от 500к до 1 млн рублей,1,2,Социальные сети,184,2,14,1
Контент-поддержка,Производство,от 1 млн рублей,0,1,Рекомендация,413,3,13,1
Перформанс-маркетинг,Туризм и гостиницы,от 30к до 50к рублей,1,1,Поиск в Google/Yandex,448,7,11,0
Контент-поддержка,Услуги для бизнеса (B2B),от 200к рублей,0,3,Социальные сети,105,4,9,0
Перформанс-маркетинг,Другое,от 50к до 100к рублей,1,2,Социальные сети,458,5,13,0
SERM (управление репутацией),Образование,от 200к до 400к рублей,1,3,Поиск в Google/Yandex,338,7,15,0
Зарубежное SEO,Услуги для бизнеса (B2B),от 200к до 400к рублей,0,2,Социальные сети,561,7,18,0
GEO-продвижение,Строительство,от 100к до 250к рублей,0,2,Контекстная или таргетированная реклама,494,5,10,0
SERM (управление репутацией),Образование,от 200к рублей,0,1,Рекомендация,307,6,14,0
Перформанс-маркетинг,Туризм и гостиницы,от 100к до 250к рублей,1,2,Рекомендация,346,4,9,1
SEO-продвижение,Услуги для населения (B2C),от 400к рублей,1,3,Рекомендация,549,6,9,1
Перформанс-маркетинг,Интернет-магазин,от 40к до 100к рублей,0,2,Поиск в Google/Yandex,256,3,18,0
Контекстная реклама,Строительство,от 100к до 200к рублей,1,1,Социальные сети,489,3,17,0
Контекстная реклама,Недвижимость,от 200к рублей,0,2,Контекстная или таргетированная реклама,438,4,13,0
Аутстафф,Образование,от 50к до 100к рублей,0,1,Контекстная или таргетированная реклама,92,5,18,0
Зарубежное SEO,Образование,от 100к до 200к рублей,1,3,Рекомендация,402,7,11,1
SEO-продвижение,Производство,от 500к до 1 млн рублей,1,2,Поиск в Google/Yandex,202,4,16,1
SERM (управление репутацией),Образование,от 100к до 250к рублей,1,1,Рекомендация,347,2,18,0
Веб-аналитика,Строительство,от 30к до 50к рублей,1,2,Рекомендация,275,6,13,1
SEO-продвижение,Другое,от 200к до 400к рублей,1,2,Поиск в Google/Yandex,378,4,17,0
GEO-продвижение,Услуги для бизнеса (B2B),от 200к рублей,1,3,Социальные сети,454,2,15,0
GEO-продвижение,Туризм и гостиницы,от 500к до 1 млн рублей,0,2,Контекстная или таргетированная реклама,478,3,14,0
Веб-аналитика,Образование,от 30к до 50к рублей,0,1,Поиск в Google/Yandex,550,5,11,0
Веб-аналитика,Услуги для бизнеса (B2B),от 50к до 100к рублей,0,2,Поиск в Google/Yandex,311,4,14,0
GEO-продвижение,Недвижимость,от 40к до 100к рублей,1,2,Поиск в Google/Yandex,520,7,15,0
Зарубежное SEO,Услуги для населения (B2C),от 40к до 100к рублей,0,2,Поиск в Google/Yandex,450,3,17,0
SERM (управление репутацией),Услуги для бизнеса (B2B),от 1 млн рублей,0,2,Рекомендация,316,6,10,1
SERM (управление репутацией),Услуги для населения (B2C),от 30к до 50к рублей,0,2,Поиск в Google/Yandex,216,3,12,0
Веб-аналитика,Услуги для населения (B2C),от 40к до 100к рублей,0,3,Поиск в Google/Yandex,489,5,11,0
GEO-продвижение,Услуги для населения (B2C),от 200к до 400к рублей,1,2,Поиск в Google/Yandex,203,2,14,1
SEO-продвижение,Другое,от 200к рублей,0,3,Рекомендация,253,4,17,0
SERM (управление репутацией),Производство,от 100к до 200к рублей,1,1,Социальные сети,466,3,17,0
Контент-поддержка,Строительство,от 50к до 100к рублей,1,1,Социальные сети,536,5,16,0
Контент-поддержка,Другое,от 200к рублей,1,2,Социальные сети,262,7,9,0
SEO-продвижение,Производство,от 100к до 250к рублей,1,2,Рекомендация,495,1,12,1
Перформанс-маркетинг,Медицина,от 250к до 500к рублей,0,2,Контекстная или таргетированная реклама,111,2,13,1
Контекстная реклама,Туризм и гостиницы,от 50к до 100к рублей,0,1,Поиск в Google/Yandex,148,2,14,0
Контекстная реклама,Производство,от 200к рублей,0,3,Контекстная или таргетированная реклама,432,7,12,0
Аутстафф,Образование,от 30к до 50к рублей,1,3,Рекомендация,314,1,18,1
GEO-продвижение,Образование,от 100к до 200к рублей,0,3,Социальные сети,322,3,13,0
Контент-поддержка,Производство,от 200к рублей,0,2,Социальные сети,279,5,12,0
Контекстная реклама,Недвижимость,от 100к до 200к рублей,0,3,Социальные сети,122,1,16,0
Перформанс-маркетинг,Услуги для бизнеса (B2B),от 100к до 250к рублей,1,3,Рекомендация,478,2,11,1
SEO-продвижение,Образование,от 200к до 400к рублей,0,3,Поиск в Google/Yandex,402,6,17,0
Аутстафф,Медицина,от 400к рублей,0,1,Поиск в Google/Yandex,213,2,9,0
Зарубежное SEO,Интернет-магазин,от 500к до 1 млн рублей,1,2,Поиск в Google/Yandex,146,7,11,1
Аутстафф,Строительство,от 200к рублей,0,3,Рекомендация,509,7,16,0
Аутстафф,Строительство,от 500к до 1 млн рублей,1,1,Рекомендация,361,4,14,1
Контент-поддержка,Туризм и гостиницы,от 250к до 500к рублей,0,3,Контекстная или таргетированная реклама,304,7,13,0
GEO-продвижение,Недвижимость,от 200к до 400к рублей,1,1,Социальные сети,229,2,13,0
GEO-продвижение,Строительство,от 250к до 500к рублей,1,3,Поиск в Google/Yandex,290,5,12,1
Контекстная реклама,Интернет-магазин,от 250к до 500к рублей,0,3,Контекстная или таргетированная реклама,368,6,16,1
GEO-продвижение,Недвижимость,от 30к до 50к рублей,0,2,Контекстная или таргетированная реклама,540,2,10,0
SEO-продвижение,Интернет-магазин,от 100к до 250к рублей,1,3,Поиск в Google/Yandex,171,6,10,1
Веб-аналитика,Образование,от 250к до 500к рублей,1,3,Социальные сети,416,5,9,1
SEO-продвижение,Интернет-магазин,от 500к до 1 млн рублей,1,3,Контекстная или таргетированная реклама,433,5,12,1
